AoA,AirSpeed,Moment,Cm
-14.9,27.7778,4482.3257606014995,0.5615898
-14.8,27.7778,4376.7194175574805,0.5483584000000001
-14.700000000000001,27.7778,4272.53058789259,0.5353046000000001
-14.600000000000001,27.7778,4169.749693813727,0.5224272000000002
-14.500000000000002,27.7778,4068.3671575277904,0.5097250000000002
-14.400000000000002,27.7778,3968.373401241677,0.4971968000000003
-14.300000000000002,27.7778,3869.7588471622844,0.4848414000000004
-14.200000000000003,27.7778,3772.5139174965097,0.47265760000000046
-14.100000000000003,27.7778,3676.629034451251,0.4606442000000004
-14.000000000000004,27.7778,3582.0946202334076,0.44880000000000053
-13.900000000000004,27.7778,3488.9010970498753,0.4371238000000005
-13.800000000000004,27.7778,3397.038887107553,0.4256144000000005
-13.700000000000005,27.7778,3306.4984126133386,0.4142706000000006
-13.600000000000005,27.7778,3217.2700957741295,0.40309120000000065
-13.500000000000005,27.7778,3129.3443587968222,0.3920750000000006
-13.400000000000006,27.7778,3042.7116238883164,0.3812208000000006
-13.300000000000006,27.7778,2957.3623132555103,0.37052740000000073
-13.200000000000006,27.7778,2873.286849105299,0.3599936000000007
-13.100000000000007,27.7778,2790.475653644583,0.34961820000000077
-13.000000000000007,27.7778,2708.9191490802577,0.3394000000000007
-12.900000000000007,27.7778,2628.6077576192233,0.3293378000000008
-12.800000000000008,27.7778,2549.5319014683755,0.3194304000000008
-12.700000000000008,27.7778,2471.682002834613,0.30967660000000075
-12.600000000000009,27.7778,2395.0484839248347,0.3000752000000009
-12.500000000000009,27.7778,2319.621766945935,0.2906250000000008
-12.40000000000001,27.7778,2245.3922741048164,0.28132480000000093
-12.30000000000001,27.7778,2172.3504276083722,0.2721734000000009
-12.20000000000001,27.7778,2100.4866496635022,0.2631696000000009
-12.10000000000001,27.7778,2029.7913624771045,0.2543122000000009
-12.00000000000001,27.7778,1960.2549882560766,0.2456000000000009
-11.900000000000011,27.7778,1891.8679492073159,0.23703180000000093
-11.800000000000011,27.7778,1824.6206675377205,0.22860640000000096
-11.700000000000012,27.7778,1758.5035654541878,0.22032260000000095
-11.600000000000012,27.7778,1693.507065163616,0.21217920000000098
-11.500000000000012,27.7778,1629.621588872903,0.20417500000000102
-11.400000000000013,27.7778,1566.8375587889457,0.19630880000000103
-11.300000000000013,27.7778,1505.1453971186422,0.18857940000000098
-11.200000000000014,27.7778,1444.5355260688914,0.18098560000000105
-11.100000000000014,27.7778,1384.9983678465894,0.17352620000000105
-11.000000000000014,27.7778,1326.524344658635,0.16620000000000104
-10.900000000000015,27.7778,1269.1038787119257,0.15900580000000106
-10.800000000000015,27.7778,1212.7273922133593,0.15194240000000106
-10.700000000000015,27.7778,1157.3853073698338,0.14500860000000107
-10.600000000000016,27.7778,1103.0680463882463,0.13820320000000108
-10.500000000000016,27.7778,1049.766031475495,0.13152500000000106
-10.400000000000016,27.7778,997.4696848384779,0.12497280000000105
-10.300000000000017,27.7778,946.1694286840926,0.11854540000000108
-10.200000000000017,27.7778,895.8556852192368,0.11224160000000108
-10.100000000000017,27.7778,846.5188766508081,0.10606020000000108
-10.000000000000018,27.7778,798.1494251857044,0.10000000000000106
-9.900000000000018,27.7778,750.7377530308239,0.09405980000000108
-9.800000000000018,27.7778,704.2742823930638,0.08823840000000108
-9.700000000000019,27.7778,658.749435479322,0.08253460000000107
-9.60000000000002,27.7778,614.1536344964965,0.07694720000000108
-9.50000000000002,27.7778,570.4773016514847,0.07147500000000107
-9.40000000000002,27.7778,527.7108591511846,0.06611680000000106
-9.30000000000002,27.7778,485.8447292024941,0.06087140000000105
-9.20000000000002,27.7778,444.8693340123109,0.05573760000000105
