Voltage,Current,RPM,Torque
1,0.06459948320413436,10.12,0.0607235142118863
2,0.12919896640826872,20.24,0.1214470284237726
3,0.19379844961240308,30.36,0.18217054263565888
4,0.25839793281653745,40.48,0.2428940568475452
5,0.32299741602067183,50.599999999999994,0.3036175710594315
6,0.38759689922480617,60.72,0.36434108527131776
7,0.45219638242894056,70.83999999999999,0.4250645994832041
8,0.5167958656330749,80.96,0.4857881136950904
9,0.5813953488372093,91.08,0.5465116279069767
10,0.6459948320413437,101.19999999999999,0.607235142118863
11,0.710594315245478,111.32,0.6679586563307492
12,0.7751937984496123,121.44,0.7286821705426355
13,0.8397932816537468,131.56,0.7894056847545219
14,0.9043927648578811,141.67999999999998,0.8501291989664082
15,0.9689922480620154,151.79999999999998,0.9108527131782944
16,1.0335917312661498,161.92,0.9715762273901808
17,1.0981912144702841,172.04,1.032299741602067
18,1.1627906976744187,182.16,1.0930232558139534
19,1.227390180878553,192.27999999999997,1.1537467700258397
20,1.2919896640826873,202.39999999999998,1.214470284237726
21,1.3565891472868217,212.51999999999998,1.2751937984496122
22,1.421188630490956,222.64,1.3359173126614985
23,1.4857881136950903,232.76,1.3966408268733848
24,1.5503875968992247,242.88,1.457364341085271
25,1.6149870801033592,252.99999999999997,1.5180878552971575
26,1.6795865633074936,263.12,1.5788113695090438
27,1.744186046511628,273.23999999999995,1.63953488372093
28,1.8087855297157622,283.35999999999996,1.7002583979328163
29,1.8733850129198966,293.47999999999996,1.7609819121447026
30,1.937984496124031,303.59999999999997,1.8217054263565888
31,2.0025839793281652,313.71999999999997,1.8824289405684753
32,2.0671834625322996,323.84,1.9431524547803616
33,2.131782945736434,333.96,2.0038759689922476
34,2.1963824289405682,344.08,2.064599483204134
35,2.2609819121447026,354.2,2.12532299741602
36,2.3255813953488373,364.32,2.186046511627907
37,2.3901808785529717,374.44,2.246770025839793
38,2.454780361757106,384.55999999999995,2.3074935400516794
39,2.5193798449612403,394.67999999999995,2.3682170542635657
40,2.5839793281653747,404.79999999999995,2.428940568475452
41,2.648578811369509,414.91999999999996,2.489664082687338
42,2.7131782945736433,425.03999999999996,2.5503875968992245
43,2.7777777777777777,435.15999999999997,2.6111111111111107
44,2.842377260981912,445.28,2.671834625322997
45,2.9069767441860463,455.4,2.7325581395348832
46,2.9715762273901807,465.52,2.7932816537467695
47,3.036175710594315,475.64,2.8540051679586558
48,3.1007751937984493,485.76,2.914728682170542
49,3.1653746770025837,495.87999999999994,2.9754521963824283
50,3.2299741602067185,505.99999999999994,3.036175710594315
51,3.294573643410853,516.12,3.0968992248062013
52,3.359173126614987,526.24,3.1576227390180875
53,3.4237726098191215,536.36,3.218346253229974
54,3.488372093023256,546.4799999999999,3.27906976744186
55,3.55297157622739,556.5999999999999,3.3397932816537463
56,3.6175710594315245,566.7199999999999,3.4005167958656326
57,3.682170542635659,576.8399999999999,3.461240310077519
58,3.746770025839793,586.9599999999999,3.521963824289405
59,3.8113695090439275,597.0799999999999,3.5826873385012914
60,3.875968992248062,607.1999999999999,3.6434108527131777
61,3.940568475452196,617.3199999999999,3.7041343669250644
62,4.0051679586563305,627.4399999999999,3.7648578811369506
63,4.069767441860465,637.56,3.825581395348837
64,4.134366925064599,647.68,3.886304909560723
65,4.198966408268734,657.8,3.9470284237726094
66,4.263565891472868,667.92,4.007751937984495
67,4.328165374677003,678.04,4.068475452196382
68,4.3927648578811365,688.16,4.129198966408268
69,4.457364341085271,698.28,4.1899224806201545
70,4.521963824289405,708.4,4.25064599483204
71,4.58656330749354,718.52,4.311369509043927
72,4.651162790697675,728.64,4.372093023255814
73,4.715762273901809,738.76,4.4328165374676995
74,4.780361757105943,748.88,4.493540051679586
75,4.844961240310077,758.9999999999999,4.554263565891472
76,4.909560723514212,769.1199999999999,4.614987080103359
77,4.974160206718346,779.2399999999999,4.675710594315245
78,5.038759689922481,789.3599999999999,4.736434108527131
79,5.103359173126615,799.4799999999999,4.797157622739017
80,5.167958656330749,809.5999999999999,4.857881136950904
81,5.232558139534883,819.7199999999999,4.91860465116279
82,5.297157622739018,829.8399999999999,4.979328165374676
83,5.361757105943152,839.9599999999999,5.040051679586562
84,5.426356589147287,850.0799999999999,5.100775193798449
85,5.4909560723514215,860.1999999999999,5.161498708010336
86,5.555555555555555,870.3199999999999,5.222222222222221
87,5.62015503875969,880.4399999999999,5.282945736434108
88,5.684754521963824,890.56,5.343669250645994
89,5.749354005167959,900.68,5.404392764857881
90,5.813953488372093,910.8,5.4651162790697665
91,5.8785529715762275,920.92,5.525839793281653
92,5.943152454780361,931.04,5.586563307493539
93,6.007751937984496,941.16,5.647286821705426
94,6.07235142118863,951.28,5.7080103359173116
95,6.136950904392765,961.4,5.768733850129198
96,6.201550387596899,971.52,5.829457364341084
97,6.2661498708010335,981.6399999999999,5.890180878552971
98,6.330749354005167,991.7599999999999,5.950904392764857
99,6.395348837209302,1001.8799999999999,6.011627906976743
100,6.459948320413437,1011.9999999999999,6.07235142118863
101,6.524547803617571,1022.1199999999999,6.133074935400516
102,6.589147286821706,1032.24,6.193798449612403
103,6.6537467700258395,1042.36,6.254521963824288
104,6.718346253229974,1052.48,6.315245478036175
105,6.782945736434108,1062.6,6.375968992248061
106,6.847545219638243,1072.72,6.436692506459948
107,6.912144702842377,1082.84,6.497416020671833
108,6.976744186046512,1092.9599999999998,6.55813953488372
109,7.0413436692506455,1103.08,6.618863049095606
110,7.10594315245478,1113.1999999999998,6.679586563307493
111,7.170542635658914,1123.32,6.7403100775193785
